symbol,id,type,exchange,en_organ_name,en_organ_short_name,organ_short_name,organ_name
VNT,8426071,STOCK,HNX,The Van Cargoes and Foreign Trade Logistics Joint Stock Company,Vinatrans Hanoi,Vận tải ngoại thương,Công ty Cổ phần Giao nhận Vận tải Ngoại Thương
VNS,8424987,STOCK,HSX,Vietnam Sun Corporation,VINASUN,Ánh Dương Việt Nam,Công ty Cổ phần Ánh Dương Việt Nam
VNR,8426199,STOCK,HNX,Viet Nam National Reinsurance Corporation,Vietnam Reinsurance,Tái bảo hiểm Quốc gia,Tổng Công ty Cổ phần Tái bảo hiểm Quốc gia Việt Nam
VNP,8426175,STOCK,UPCOM,Vietnam Plastic Corporation,Vietnam Plastic,Nhựa Việt Nam,Công ty Cổ phần Nhựa Việt Nam
VNM,8424928,STOCK,HSX,Vietnam Dairy Products Joint Stock Company,Vinamilk,VINAMILK,Công ty Cổ phần Sữa Việt Nam
VNL,8424621,STOCK,HSX,Vinalink Logistics Joint Stock Company,Vinalink Logistics,Vinalink Logistics,Công ty Cổ phần Logistics Vinalink
VNI,8425689,STOCK,UPCOM,Vietnam Land Investment Corporation,Vietnam Land Investment,ĐT BĐS Việt Nam,Công ty Cổ phần Đầu tư Bất động sản Việt Nam
VNH,8425235,STOCK,UPCOM,Viet Viet Nhat Investment Corporation,Viet Viet Nhat Investment,Đầu tư Việt Việt Nhật,Công ty Cổ phần Đầu tư Việt Việt Nhật
VNG,8424633,STOCK,HSX,Thanh Thanh Cong Tourism Joint Stock Company,Thanh Thanh Cong Tourism,DL Thành Thành Công,Công ty Cổ phần Du Lịch Thành Thành Công
VNF,8425580,STOCK,HNX,Vinafreight Joint Stock Company,VINAFREIGHT,VINAFREIGHT,Công ty Cổ phần Vinafreight
VNE,8424456,STOCK,HSX,Vietnam Electricity Construction Joint Stock Corporation,Vietnam Electricity Construction,Xây dựng điện Việt Nam,Tổng Công ty Cổ phần Xây dựng điện Việt Nam
VND,8425030,STOCK,HSX,VNDIRECT Securities Corporation,VNDIRECT,Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT
VNC,8425967,STOCK,HNX,Vinacontrol Group Corporation,Vinacontrol,VINACONTROL,Công ty Cổ phần Tập đoàn Vinacontrol
VNB,8426114,STOCK,UPCOM,Vietnam Books Joint Stock Company,Vietnam Books,Sách Việt Nam,Công ty Cổ phần Sách Việt Nam
VNA,8425241,STOCK,UPCOM,Vinaship Joint Stock Company,Vinaship,Vận tải biển Vinaship,Công ty Cổ phần Vận tải biển Vinaship
VMT,11815775,STOCK,UPCOM,Vina Trans Da Nang Joint Stock Company,Vina Trans Da Nang,Giao nhận Vận tải Miền Trung,Công ty Cổ phần Giao nhận Vận tải Miền Trung
VMS,8425683,STOCK,HNX,Vietnam Maritime Development Joint Stock Company,Vietnam Maritime Development,Phát triển Hàng Hải,Công ty Cổ phần Phát triển Hàng Hải
VMK,13223095,STOCK,UPCOM,Vimarko Joint Stock Company,Vimarko,Vimarko,Công ty Cổ phần Vimarko
VMI,9679674,STOCK,DELISTED,VISACO Mineral and Investement Joint Stock Company,VISACO Mineral and Investement,KS và Đầu tư VISACO,Công ty Cổ phần Khoáng sản và Đầu tư VISACO
VMG,8426146,STOCK,UPCOM,Vung Tau Petroleum Trading and Services Joint Stock Company,Vung Tau Petroleum,Vimexco Gas,Công ty Cổ phần Thương mại và Dịch vụ Dầu khí Vũng Tàu
VMD,8424523,STOCK,HSX,Vimedimex Medi - Pharma Joint Stock Company,Vimedimex Medi - Pharma,Y Dược phẩm Vimedimex,Công ty Cổ phần Y Dược phẩm Vimedimex
VMC,8426207,STOCK,HNX,Vimeco Joint Stock Company,VIMECO,VIMECO,Công ty Cổ phần VIMECO
VMA,8425563,STOCK,UPCOM,Vinacomin - Motor Industry Joint Stock Company,Vinacomin Motor Industry,CN Ô tô - Vinacomin,Công ty Cổ phần Công nghiệp Ô tô - Vinacomin
VLW,8425196,STOCK,UPCOM,Vinh Long Water Supply Joint Stock Company,Vinh Long Warter Supply,Cấp nước Vĩnh Long,Công ty Cổ phần Cấp nước Vĩnh Long
