exercise_date,cash_year,cash_dividend_percentage,issue_method,Symbol
16/07/20,2020.0,0.416,share,ADG
28/06/19,2019.0,0.48,share,ADG
30/03/18,2018.0,0.415,share,ADG
04/12/24,2024.0,0.07,cash,ADP
16/09/24,2024.0,0.07,cash,ADP
01/07/24,2024.0,0.08,cash,ADP
17/05/24,2023.0,0.095,cash,ADP
19/03/24,2023.0,0.11,cash,ADP
14/11/23,2023.0,0.06,cash,ADP
17/05/23,2023.0,0.08,cash,ADP
14/03/23,2022.0,0.06,cash,ADP
14/11/22,2022.0,0.06,cash,ADP
20/06/22,2022.0,0.05,cash,ADP
23/03/22,2021.0,0.08,cash,ADP
09/11/21,2021.0,0.04,cash,ADP
11/06/21,2021.0,0.1,cash,ADP
22/03/21,2020.0,0.1,cash,ADP
02/12/20,2020.0,0.05,cash,ADP
14/08/24,2023.0,0.1,cash,ADS
14/07/23,2023.0,0.15,share,ADS
05/09/22,2022.0,0.15,share,ADS
18/06/21,2020.0,0.1,cash,ADS
21/08/20,2020.0,0.1,share,ADS
17/05/19,2018.0,0.2,cash,ADS
17/05/18,2017.0,0.05,cash,ADS
26/01/18,2017.0,0.15,cash,ADS
27/04/17,2016.0,0.2,cash,ADS
07/11/16,2016.0,0.05,share,ADS
31/03/16,2015.0,0.1,cash,ADS
31/12/14,2014.0,0.17,cash,ADS
14/05/19,2018.0,0.015,cash,AFX
27/04/18,2017.0,0.035,cash,AFX
30/06/13,2012.0,0.04,cash,AFX
18/05/12,2011.0,0.07,cash,AFX
19/04/24,2023.0,0.023,cash,AG1
19/06/20,2019.0,0.12,cash,AG1
19/04/19,2018.0,0.14,cash,AG1
11/05/18,2017.0,0.13,cash,AG1
30/12/16,2016.0,0.033,cash,AG1
13/09/23,2022.0,0.02,cash,AGE
07/10/22,2021.0,0.02,cash,AGE
20/10/21,2020.0,0.02,cash,AGE
14/09/20,2019.0,0.02,cash,AGE
23/12/15,2015.0,0.25,cash,AGF
04/06/15,2015.0,0.1,share,AGF
28/02/14,2013.0,0.1,cash,AGF
13/03/13,2012.0,0.1,cash,AGF
29/02/12,2011.0,0.1,cash,AGF
12/09/11,2011.0,0.1,cash,AGF
25/03/11,2010.0,0.1,cash,AGF
21/10/10,2010.0,0.1,cash,AGF
31/03/10,2010.0,0.1,share,AGF
27/01/10,2009.0,0.1,cash,AGF
15/04/09,2008.0,0.04,cash,AGF
29/12/08,2008.0,0.06,cash,AGF
02/01/08,2007.0,0.12,cash,AGF
08/06/07,2007.0,0.2,share,AGF
13/11/06,2006.0,0.06,cash,AGF
07/08/24,2024.0,0.25,share,AGG
07/12/22,2022.0,0.1,share,AGG
25/01/22,2022.0,0.1,share,AGG
27/08/20,2020.0,0.1,share,AGG
17/07/20,2019.0,0.14,cash,AGM
24/06/19,2018.0,0.05,cash,AGM
19/06/18,2017.0,0.05,cash,AGM
31/05/16,2015.0,0.2,cash,AGM
21/05/15,2014.0,0.05,cash,AGM
05/05/14,2013.0,0.1,cash,AGM
21/05/13,2012.0,0.15,cash,AGM
16/11/12,2012.0,0.1,cash,AGM
17/04/24,2024.0,0.12,share,AGP
30/06/23,2023.0,0.1,share,AGP
30/06/23,2022.0,0.05,cash,AGP
06/05/22,2021.0,0.1,cash,AGP
03/08/21,2020.0,0.1,cash,AGP
28/08/20,2019.0,0.1,cash,AGP
12/07/19,2018.0,0.12,cash,AGP
09/05/18,2018.0,0.3,share,AGP
03/05/17,2016.0,0.03,cash,AGP
20/12/16,2016.0,0.12,cash,AGP
25/05/16,2015.0,0.15,cash,AGP
02/10/24,2023.0,0.07,cash,AGR
04/10/23,2022.0,0.06,cash,AGR
25/07/14,2012.0,0.025,cash,AGR
28/05/14,2011.0,0.038,cash,AGR
06/10/11,2010.0,0.07,cash,AGR
17/06/10,2010.0,0.1,share,AGR
09/05/24,2023.0,0.15,cash,AGX
09/05/23,2022.0,0.15,cash,AGX
26/09/22,2021.0,0.1,cash,AGX
15/08/22,2020.0,0.1,cash,AGX
16/07/20,2019.0,0.08,cash,AGX
04/11/19,2019.0,0.1,cash,AGX
10/05/19,2018.0,0.2,cash,AGX
19/11/18,2018.0,0.1,cash,AGX
21/05/18,2017.0,0.2,cash,AGX
28/11/17,2017.0,0.1,cash,AGX
29/06/17,2016.0,0.1,cash,AGX
06/12/16,2016.0,0.1,cash,AGX
31/08/16,2015.0,0.1,cash,AGX
28/03/16,2015.0,0.1,cash,AGX
01/10/24,2023.0,0.1,cash,ALT
20/09/23,2022.0,0.1,cash,ALT
20/09/22,2021.0,0.07,cash,ALT
21/09/21,2020.0,0.07,cash,ALT
14/09/20,2019.0,0.09,cash,ALT
11/09/19,2018.0,0.08,cash,ALT
11/09/18,2017.0,0.08,cash,ALT
03/08/17,2016.0,0.06,cash,ALT
14/06/16,2015.0,0.06,cash,ALT
18/09/12,2011.0,0.06,cash,ALT
10/02/12,2011.0,0.06,cash,ALT
26/05/10,2009.0,0.07,cash,ALT
24/11/09,2009.0,0.09,share,ALT
25/08/09,2008.0,0.04,cash,ALT
11/12/08,2008.0,0.04,cash,ALT
14/09/17,2015.0,0.05,cash,ALV
14/09/17,2016.0,0.05,cash,ALV
14/09/17,2017.0,0.05,cash,ALV
10/07/12,2012.0,0.15,share,ALV
08/06/11,2009.0,0.088,cash,ALV
20/06/24,2023.0,0.13,cash,AMC
07/08/23,2022.0,0.15,cash,AMC
09/06/22,2021.0,0.2,cash,AMC
21/06/21,2020.0,0.2,cash,AMC
15/07/20,2019.0,0.2,cash,AMC
27/06/19,2018.0,0.2,cash,AMC
05/06/18,2017.0,0.35,cash,AMC
14/06/17,2016.0,0.35,cash,AMC
19/05/16,2015.0,0.35,cash,AMC
13/05/15,2014.0,0.28,cash,AMC
13/05/14,2013.0,0.28,cash,AMC
08/04/13,2012.0,0.15,cash,AMC
04/05/12,2011.0,0.175,cash,AMC
19/05/16,2016.0,0.05,share,AMD
19/05/16,2016.0,0.03,share,AMD
25/12/18,2019.0,0.1,share,AME
09/08/17,2016.0,0.1,cash,AMP
31/12/15,2015.0,0.09,cash,AMP
27/08/24,2023.0,0.03,cash,AMS
28/12/20,2020.0,0.1,share,AMS
09/08/19,2018.0,0.05,cash,AMS
11/10/18,2017.0,0.03,cash,AMS
31/08/17,2016.0,0.05,cash,AMS
31/12/15,2015.0,0.05,cash,AMS
31/12/14,2014.0,0.03,cash,AMS
11/01/21,2019.0,0.1,cash,AMV
11/01/21,2019.0,0.1,cash,AMV
11/01/21,2021.0,0.4,share,AMV
09/08/19,2018.0,0.2,cash,AMV
09/08/19,2019.0,0.4,share,AMV
28/12/23,2023.0,0.278,share,ANT
28/07/23,2023.0,0.05,share,ANT
27/06/17,2016.0,0.067,cash,ANT
31/12/15,2015.0,0.157,cash,ANT
31/12/14,2014.0,0.185,cash,ANT
31/12/13,2013.0,0.18,cash,ANT
11/10/24,2023.0,0.05,cash,ANV
30/10/23,2022.0,0.1,cash,ANV
31/10/22,2021.0,0.1,cash,ANV
25/11/21,2020.0,0.1,cash,ANV
03/12/20,2019.0,0.1,cash,ANV
17/04/20,2019.0,0.1,cash,ANV
26/06/19,2018.0,0.03,cash,ANV
11/04/19,2018.0,0.12,cash,ANV
17/05/18,2017.0,0.03,cash,ANV
16/03/18,2017.0,0.09,cash,ANV
13/04/17,2016.0,0.09,cash,ANV
23/03/15,2014.0,0.09,cash,ANV
06/03/14,2013.0,0.09,cash,ANV
28/03/13,2012.0,0.09,cash,ANV
24/04/12,2011.0,0.09,cash,ANV
23/06/17,2016.0,0.05,cash,APC
14/06/16,2015.0,0.05,cash,APC
13/05/15,2014.0,0.05,cash,APC
06/08/14,2013.0,0.1,cash,APC
26/11/13,2011.0,0.08,cash,APC
16/03/12,2011.0,0.05,cash,APC
16/03/12,2011.0,0.05,cash,APC
23/05/11,2010.0,0.2,cash,APC
16/04/10,2009.0,0.25,cash,APC
04/02/25,2024.0,0.1,cash,APF
09/07/24,2024.0,0.1,share,APF
04/07/24,2023.0,0.25,cash,APF
24/01/24,2023.0,0.2,cash,APF
19/06/23,2023.0,0.15,share,APF
25/05/23,2022.0,0.3,cash,APF
23/02/23,2022.0,0.15,cash,APF
30/06/22,2022.0,0.1,share,APF
26/05/22,2021.0,0.25,cash,APF
25/03/22,2021.0,0.15,cash,APF
15/06/21,2021.0,0.1,share,APF
27/05/21,2020.0,0.35,cash,APF
25/12/20,2020.0,0.15,cash,APF
24/07/20,2020.0,0.1,share,APF
29/06/20,2019.0,0.1,cash,APF
21/06/21,2021.0,0.15,share,APG
21/03/18,2017.0,0.05,cash,APG
06/08/10,2010.0,0.07,cash,APG
05/10/21,2020.0,0.03,cash,API
27/11/20,2019.0,0.03,cash,API
15/04/24,2023.0,0.12,cash,APL
24/04/23,2022.0,0.12,cash,APL
21/04/22,2021.0,0.12,cash,APL
10/05/21,2020.0,0.12,cash,APL
07/04/20,2019.0,0.12,cash,APL
09/04/19,2018.0,0.12,cash,APL
12/04/18,2017.0,0.12,cash,APL
12/04/17,2016.0,0.12,cash,APL
12/09/19,2019.0,0.02,share,APP
28/06/18,2017.0,0.03,cash,APP
07/07/17,2016.0,0.05,cash,APP
20/03/17,2016.0,0.05,cash,APP
16/05/16,2015.0,0.04,cash,APP
29/12/15,2015.0,0.05,cash,APP
26/06/15,2014.0,0.09,cash,APP
13/01/15,2014.0,0.05,cash,APP
03/06/14,2013.0,0.09,cash,APP
30/12/13,2013.0,0.07,cash,APP
18/06/13,2012.0,0.1,cash,APP
01/06/12,2012.0,0.05,cash,APP
01/06/12,2011.0,0.2,cash,APP
18/10/11,2011.0,0.05,cash,APP
15/06/11,2010.0,0.16,cash,APP
23/05/24,2023.0,0.1,cash,ARM
16/06/23,2022.0,0.06,cash,ARM
19/07/22,2021.0,0.09,cash,ARM
21/09/21,2020.0,0.055,cash,ARM
