deal_announce_date,deal_method,deal_action,deal_quantity,deal_price,deal_ratio,Ticker
2021-11-16,,Bán,-878100.0,17170.0,-0.592,TL4
2018-05-24,,Mua,1000.0,5261.0,0.331,TL4
2017-06-15,,Mua,0.0,4912.0,0.425,TL4
2022-08-11,,Mua,4500000.0,,,TLD
2022-08-11,,Mua,5500000.0,,,TLD
2022-01-18,,Mua,0.0,,,TLD
2021-12-10,,Bán,-372300.0,,,TLD
2021-12-09,,Bán,-206000.0,,,TLD
2021-12-09,,Bán,-61100.0,,,TLD
2021-11-05,,Mua,2284400.0,,,TLD
2021-03-23,,Bán,-4000000.0,,,TLD
2021-03-22,,Bán,-369000.0,,,TLD
2021-03-18,,Bán,-858250.0,,,TLD
2020-12-07,,Mua,1500000.0,,,TLD
2020-11-27,,Bán,-1000000.0,,,TLD
2020-11-19,,Bán,-600000.0,,,TLD
2020-11-19,,Bán,-1315480.0,,,TLD
2020-09-07,,Mua,0.0,,,TLD
2020-08-05,,Mua,139000.0,,,TLD
2019-11-07,,Bán,-450030.0,,,TLD
2019-10-11,,Bán,-296000.0,,,TLD
2019-09-06,,Mua,207210.0,,,TLD
2019-09-06,,Mua,91970.0,,,TLD
2025-01-14,,Mua,200000.0,61600.0,-0.005,TLG
2024-07-29,,Bán,-2000000.0,46674.0,0.313,TLG
2023-10-13,,Mua,30000.0,45971.0,0.333,TLG
2023-10-10,,Mua,30000.0,46146.0,0.328,TLG
2023-10-10,,Mua,180000.0,46146.0,0.328,TLG
2023-10-06,,Mua,60000.0,46586.0,0.316,TLG
2023-09-28,,Mua,30000.0,48256.0,0.27,TLG
2023-09-27,,Mua,30000.0,47465.0,0.291,TLG
2023-09-19,,Mua,0.0,49399.0,0.241,TLG
2023-09-19,,Mua,0.0,49399.0,0.241,TLG
2022-05-06,,Mua,30000.0,36625.0,0.674,TLG
2020-12-07,,Bán,-5290.0,28379.0,1.16,TLG
2020-04-17,,Mua,50000.0,22345.0,1.743,TLG
2019-08-01,,Bán,-20000.0,39804.0,0.54,TLG
2019-07-18,,Bán,-9380.0,32398.0,0.892,TLG
2019-07-16,,Bán,-44590.0,32090.0,0.91,TLG
2019-06-05,,Bán,-50000.0,35793.0,0.713,TLG
2019-04-16,,Bán,-16000.0,36434.0,0.682,TLG
2019-04-01,,Bán,-34530.0,36374.0,0.685,TLG
2019-03-13,,Mua,5000000.0,38195.0,0.605,TLG
2021-12-16,,Bán,-14500.0,18138.0,-0.756,TLH
2021-11-30,,Bán,-18100.0,20437.0,-0.783,TLH
2021-11-19,,Bán,-21800.0,16690.0,-0.735,TLH
2021-11-19,,Bán,0.0,16690.0,-0.735,TLH
2021-11-18,,Bán,-14500.0,17499.0,-0.747,TLH
