exchange,industry,company_type,no_shareholders,foreign_percent,outstanding_share,issue_share,established_year,no_employees,stock_rating,delta_in_week,delta_in_month,delta_in_year,short_name,website,industry_id,industry_id_v2,Tickers
UPCOM,"Điện, nước & xăng dầu khí đốt",CT,677,0.0,33.0,33.0,2005.0,868,,3.0,16.0,1106,Cấp nước Thanh Hóa,http://capnuocthanhhoa.vn,277,7577,THN
UPCOM,Thực phẩm và đồ uống,CT,445,0.0,2025-06-21 00:00:00,2025-06-21 00:00:00,1987.0,2216,,3.0,-17.0,-76,Thủy sản và TMại Thuận Phước,http://www.thuanphuoc.vn,217,3573,THP
HNX,Bán lẻ,CT,240,1.0,2025-07-02 00:00:00,3.0,2004.0,42,,3.0,109.0,-68,Thanh Hoa Sông Đà,https://thanhhoasongda.com.vn,250,5373,THS
HNX,Tài nguyên Cơ bản,CT,1981,41.0,2025-06-24 00:00:00,2025-06-24 00:00:00,2006.0,1884,2025-06-02 00:00:00,3.0,16.0,-62,Than Hà Tu,http://www.hatucoal.vn,160,1771,THT
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,326,0.0,2025-03-03 00:00:00,2025-03-03 00:00:00,2010.0,883,,3.0,-49.0,481,Môi trường và CTĐT Thanh Hóa,https://urencothanhhoa.com.vn,199,2799,THU
UPCOM,"Điện, nước & xăng dầu khí đốt",CT,239,25.0,5.0,5.0,2010.0,304,,3.0,-162.0,464,Cấp nước Tân Hòa,http://www.capnuoctanhoa.com.vn,277,7577,THW
UPCOM,Bất động sản,CT,936,0.0,200.0,200.0,2015.0,1233,2025-02-02 00:00:00,-14.0,-21.0,18,Tổng Công ty Tín Nghĩa,https://tinnghiacorp.com.vn,336,8633,TID
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,492,9.0,2025-06-09 00:00:00,2025-06-09 00:00:00,2004.0,36,,139.0,-33.0,-264,Điện tử TIE,http://www.tiegroup.vn,186,2733,TIE
HNX,Bất động sản,CT,4384,97.0,193.6,193.6,2001.0,348,2025-04-02 00:00:00,-13.0,-36.0,18,Tập đoàn Đầu tư Thăng Long,https://tig.vn,336,8633,TIG
UPCOM,Dịch vụ tài chính,NH,366,1.0,91.2,91.2,2008.0,947,2025-09-01 00:00:00,-1.0,-127.0,0.06,Tài chính Cổ phần Tín Việt,https://www.vietcredit.com.vn,297,8771,TIN
HOSE,Bất động sản,CT,2116,171.0,65.0,65.0,2002.0,53,2025-06-02 00:00:00,-16.0,-21.0,-82,PT KCN Tín Nghĩa,https://tinnghiaip.com.vn,336,8633,TIP
UPCOM,Tài nguyên Cơ bản,CT,3259,1.0,184.0,184.0,1959.0,3597,2.0,-1.0,17.0,0.41,Gang thép Thái Nguyên,https://tisco.com.vn,159,1757,TIS
HOSE,Bất động sản,CT,321,5.0,30.0,30.0,1981.0,106,2025-09-02 00:00:00,87.0,59.0,107,TANIMEX,http://www.tanimex.com.vn,336,8633,TIX
HNX,Hàng & Dịch vụ Công nghiệp,CT,300,3.0,2025-06-08 00:00:00,2025-06-08 00:00:00,2000.0,11,,3.0,-26.0,232,Dịch vụ Vận tải và Thương mại,https://www.transco.com.vn,194,2779,TJC
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,275,0.0,2025-08-03 00:00:00,2025-08-03 00:00:00,2006.0,245,,3.0,16.0,-76,Bao bì Tân Khánh An,http://tankhanhan.com,184,2723,TKA
UPCOM,Xây dựng và Vật liệu,CT,722,3.0,15.0,2025-07-15 00:00:00,1999.0,100,,3.0,16.0,,Địa ốc Tân Kỷ,http://www.tanky.com.vn,181,2357,TKC
UPCOM,Tài nguyên Cơ bản,CT,152,0.0,2025-03-06 00:00:00,2025-03-06 00:00:00,2000.0,33,,,16.0,-876,SX và T.Mại Tùng Khánh,http://tungkhanh.com.vn,159,1757,TKG
HNX,Tài nguyên Cơ bản,CT,59,527.0,46.9,2025-03-07 00:00:00,1995.0,392,2025-05-02 00:00:00,3.0,116.0,218,Công nghiệp Tung Kuang,http://www.tungkuang.com.vn,157,1753,TKU
UPCOM,Xây dựng và Vật liệu,CT,0,0.0,2025-03-15 00:00:00,16.0,2008.0,70,,3.0,18.0,-91,XD Thủy lợi 4,http://www.thuyloi4.com.vn,181,2357,TL4
HOSE,Bất động sản,CT,5047,6.0,77.7,77.7,2009.0,254,2025-06-02 00:00:00,15.0,19.0,86,ĐT XD và PT Đô thị Thăng Long,http://thanglongdeco.com,336,8633,TLD
HOSE,Hàng cá nhân & Gia dụng,CT,2040,224.0,86.5,86.5,2005.0,3014,2025-06-02 00:00:00,-46.0,-75.0,382,Tập đoàn Thiên Long,https://thienlonggroup.com,220,3724,TLG
HOSE,Tài nguyên Cơ bản,CT,11975,0.01,112.3,112.3,1988.0,218,2025-02-02 00:00:00,3.0,-44.0,-528,Thép Tiến Lên,http://www.tienlensteel.com.vn,159,1757,TLH
UPCOM,Hàng cá nhân & Gia dụng,CT,356,0.0,3.0,3.0,2007.0,217,,26.0,268.0,-332,May Quốc tế Thắng Lợi,https://maythangloi.com.vn,226,3763,TLI
UPCOM,"Điện, nước & xăng dầu khí đốt",CT,546,0.0,236.6,236.6,2010.0,470,2025-06-02 00:00:00,83.0,124.0,-43,Thương mại XNK Thanh Lễ,http://www.thalexim.vn,275,7573,TLP
UPCOM,Xây dựng và Vật liệu,CT,389,2.0,7.0,7.0,2004.0,330,,148.0,72.0,-105,Viglacera Thăng long,http://www.viglacerathanglong.com.vn,180,2353,TLT
HNX,Tài nguyên Cơ bản,CT,652,1.0,15.0,15.0,2007.0,600,2025-04-02 00:00:00,1.0,83.0,797,Than Miền Bắc - Vinacomin,https://thanmienbac.vn,160,1771,TMB
HNX,"Điện, nước & xăng dầu khí đốt",CT,0,18.0,2025-04-12 00:00:00,2025-04-12 00:00:00,2000.0,281,,-44.0,28.0,-114,XNK Thủ Đức,https://www.timexcothuduc.com.vn,275,7573,TMC
UPCOM,Tài nguyên Cơ bản,CT,237,0.0,18.0,18.0,2005.0,1271,2025-04-02 00:00:00,3.0,-26.0,77,Kim loại màu Thái Nguyên - Vimico,https://kimloaimau.com.vn,159,1757,TMG
HOSE,"Điện, nước & xăng dầu khí đốt",CT,921,8.0,70.0,70.0,1994.0,157,2025-05-02 00:00:00,-19.0,-39.0,-68,Thủy điện Thác Mơ,https://tmhpp.com.vn,274,7535,TMP
HOSE,Hàng & Dịch vụ Công nghiệp,CT,1660,426.0,169.3,169.3,1999.0,1289,2025-03-02 00:00:00,22.0,15.0,-16,Transimex,http://transimex.com.vn,193,2777,TMS
HOSE,Ô tô và phụ tùng,CT,856,25.0,36.9,37.3,2006.0,449,2025-02-02 00:00:00,-0.1,599.0,-321,Ô tô TMT,https://tmt-vietnam.com,211,3353,TMT
UPCOM,Tài nguyên Cơ bản,CT,0,0.0,2025-07-04 00:00:00,2025-07-04 00:00:00,2006.0,73,,3.0,-9.0,3339,Gỗ Tân Mai,https://wood-tanmai.com.vn,155,1733,TMW
HNX,Xây dựng và Vật liệu,CT,365,69.0,6.0,6.0,2007.0,84,,3.0,81.0,-104,Thương mại Xi măng,https://tmx.com.vn,180,2353,TMX
HOSE,Bất động sản,CT,626,1.0,54.6,54.6,2014.0,1839,2.0,17.0,6.0,-289,Rox Key Holdings,https://roxkey.vn,336,8633,TN1
UPCOM,Tài nguyên Cơ bản,CT,2298,21.0,49.2,49.6,1994.0,138,2025-04-02 00:00:00,3.0,16.0,-422,XNK Thiên Nam,https://thiennamgroup.vn,159,1757,TNA
UPCOM,Tài nguyên Cơ bản,CT,338,4.0,2025-05-14 00:00:00,2025-05-14 00:00:00,2007.0,154,,13.0,121.0,0.3,Thép Nhà Bè,https://nbsteel.vn,159,1757,TNB
HOSE,Hóa chất,CT,566,6.0,2025-03-19 00:00:00,2025-03-19 00:00:00,1991.0,275,2025-04-02 00:00:00,-0.01,-16.0,-531,Cao su Thống Nhất,http://trc.com.vn,150,1353,TNC
HNX,Hàng cá nhân & Gia dụng,CT,14441,0.16,122.6,122.6,2002.0,19072,2025-03-02 00:00:00,-22.0,-51.0,292,Đầu tư và Thương mại TNG,https://tng.vn,226,3763,TNG
HOSE,Y tế,CT,3471,513.0,144.2,144.2,2012.0,670,2025-05-02 00:00:00,42.0,129.0,179,Tập đoàn Bệnh viện TNH,https://tnh.com.vn,234,4533,TNH
HOSE,Tài nguyên Cơ bản,CT,1329,1.0,52.5,52.5,2009.0,31,,3.0,12.0,-233,Tập đoàn Thành Nam,https://thanhnamgroup.com.vn,159,1757,TNI
UPCOM,Xây dựng và Vật liệu,CT,0,0.0,2025-08-05 00:00:00,2025-08-05 00:00:00,1997.0,1,,3.0,16.0,-76,XNK và XD Công trình,http://www.tranimexco.com.vn,181,2357,TNM
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,124,0.0,2025-01-07 00:00:00,2025-01-07 00:00:00,2010.0,219,,-142.0,0.04,282,Cảng Thị Nại,http://www.thinaiport.com.vn,193,2777,TNP
